Requisition ID,Requisition Display Job Title,Requisition Division,Requisition Owner - Name,Requisition Date Filled,Applicant Submission Source,Requisition Time to Fill,Candidates per req
req1318,Distribution Technician (Temp to Perm),Distribution PA,Recruiter3,2/13/19 14:40,Agency - R,69,1
req2385,Business Development Manager - Payor/Provider,Sales,Recruiter3,3/30/20 8:11,Careers Page,89,22
req993,Quality Assurance Engineer,28101 R&d Admin,Recruiter3,8/17/18 10:15,Added Manually,22,1
req992,Quality Assurance Engineer,28101 R&d Admin,Recruiter3,10/3/18 16:40,Added Manually,69,1
req2562,"Account Executive - Sarasota, FL",Sales,Recruiter3,6/9/20 21:33,Added Manually,75,80
req998,Strategic Contracting Operations Analyst,Contracting Administration,Recruiter3,9/29/18 21:20,Career Center,56,21
req2122,"Director, EMR",Sales,Recruiter3,1/6/20 8:10,Internal Referral - Referral Email,109,79
req2304,"Account Executive - Cleveland, OH",Sales,Recruiter3,1/30/20 7:34,Added Manually,74,25
req1322,"Account Executive - Mobile, AL",Sales,Recruiter3,1/21/19 12:02,Added Manually,46,13
req2126,Associate Account Executive - Michigan,Sales,Recruiter3,2/9/20 17:58,Careers Page,143,42
req1616,"Director, R&D Project Management",R&D,Recruiter3,6/26/19 7:09,Careers Page,62,31
req2192,Distribution Technician Lead,Distribution PA,Recruiter3,3/3/20 13:29,Career Center,148,3
req1074,Distribution Technician Temp to Perm,Distribution AZ,Recruiter3,2/4/19 11:41,Agency - Ex,152,1
req2682,Distribution Technician (Temp to Perm),Distribution AZ,Recruiter3,5/29/20 20:01,Added Manually,20,1
req2309,Innovations Sales Specialist -Washington DC area,Sales & Marketing,Recruiter3,2/27/20 17:37,Added Manually,99,13
req1882,Manufacturing Technician,Manufacturing,Recruiter3,9/12/19 16:10,Agency - A,56,4
req1615,Patient Engagement Specialist,Patient Engagement,Recruiter3,5/21/19 9:35,Careers Page,44,322
req2120,Sr. Regulatory Affairs Specialist,Quality & Regulatory,Recruiter3,12/4/19 8:16,Added Manually,78,11
req1853,Distribution Quality Technician,Distribution Quality AZ,Recruiter3,9/12/19 11:45,Career Center,66,2
req1271,Distribution Technician Temp,Distribution PA,Recruiter3,4/3/19 17:42,Added Manually,143,1
req728,HR Intern,Human Resources,Recruiter3,6/8/18 17:41,Added Manually,43,39
req981,Cardiac Specialist,Wireless Monitoring,Recruiter3,8/23/18 12:22,Added Manually,30,1
req1266,Distribution Technician Temp,Distribution PA,Recruiter3,11/26/18 8:52,Agency - PS,15,1
req2707,Distribution Technician (Temp to Perm),Distribution AZ,Recruiter3,6/5/20 21:46,Added Manually,10,1
